CourseExternalId|CourseComponent|CourseTitle|CourseDescription|CourseDisclaimer|Office|Archive|TargetLocation|CourseCredit1|CourseNotes|CourseEditableField1
2600||(si08) Creating a Brain Friendly Classroom|Learn the fundamentals of current brain research which impact schools and classrooms. Theories will be included that are concepts of intelligence, brain anatomy, and memory systems. Through class discussion, teachers will experience brain friendly teachin||16|1|8|13.00||
2620||(si25) Language of Discipline|Knowing how to deal with disruptive, off task or unsafe behavior is fundamental knowledge for all staff who work with students. Knowing how to teach students self-respect is of far greater importance. Review principles of Diane Gossen's Restitution and Wi||16|1|8|13.00||pbi
2630||(si35) Reading Support for All Learners Grades K-6|Note:  This class has been restructured to incorporate grade levels K-6 with breakout sessions.  \r\n\r\nK-3 participants will discover strategies to teach decoding vocabulary and comprehension for both fiction and non-fiction texts and how to connect the||16|1|8|26.00||diff
4059||Depression and Other Mood Disorders In Children|This presentation will review the signs and symptoms of mood disorders, with special focus on how they tend to manifest in the school setting.  We will examine risk factors, the overlap with other mental health problems and with chemical health issues, an||16|1|8|1.50||
4060||Attention Deficit and ADHD|Dr. Torguson will discuss the signs and symptoms of ADD and ADHD in children.  Practical pointers will be given on how to identify these children in a school setting and explore other possible conditions that may resemble ADD/ADHD.  The etiology and treat||16|1|8|1.50||
4069||Welcome and Overview of Edina's Assets|Dr. Christine Weymouth and Mr. Doug Johnson, Director of Community Education Services will overview the Edina Developmental Assets Initiative as well as present findings from the Developmental Assets Survey taken by Edina students.  Mr. Don Shelby, WCCO 4||16|1|8|2.50||
4070||Signs of Suicide and Prevention Strategies|SAVE's school-based prevention program, SAVE-A-Student, takes SAVE's prevention message - recognize symptoms and warning signs and get treatment - into schools.  Using a successful suicide prevention training program, QPR (Questions, Persuade, and Refer),||16|1|8|1.50||pbi
4071||Eating Disorders|The Eating Disorders Institute provides treatment of varying intensity for individuals struggling with anorexia nervosa and bulimia nervosa.  This presentation will include socio-cultural factors, signs and symptoms, and suggestions for reaching out to so||16|1|8|1.50||
4072||A Panel of Ministers:  How We View Edina Kids|Based on extensive work and interaction with Edina youth, this panel of ministers will share their views of our youth and the roles we can all take in building their assets.  Rev. Anthony Jones ia a graduate of Edina Class 1986 and is an ordained minister||16|1|8|1.50||
4076||Dealing with Anxiety Disorders|Come hear her moving story; her personal, lifelong struggle with anxiety disorder and its impact on her life, from a K-12 student to adulthood.  Sarah is a graduate of Edina Class 1961, a member of the Edina Board of Education from 1983 - 85, and Chairper||16|1|8|1.50||
4077||Raising Successful Girls (Session 1 only)|This session will address the very subtle ways girls are negatively socialized and why an alarming number of females tend to become underachievers in our culture.  We'll specifically discuss the impact a teacher's behavior can have on making a difference ||16|1|8|1.50||pbi
4078||Raising Successful Boys (Session 2 only)|This session will specifically address the needs of male students.  Peter Benson's research shows that boys' hedonistic tendencies go way up by the time they reach eighth grade.  How can teachers encourage and elicit responsible behavior and risk-taking i||16|1|8|1.50||pbi
